[27-Aug-2015 09:19:20 UTC] PHP Parse error:  syntax error, unexpected 'the_content' (T_STRING) in /Applications/MAMP/htdocs/wp-content/themes/quality/index-team.php on line 49
[27-Aug-2015 09:20:23 UTC] PHP Parse error:  syntax error, unexpected 'the_content' (T_STRING) in /Applications/MAMP/htdocs/wp-content/themes/quality/index-team.php on line 49
[27-Aug-2015 09:20:30 UTC] PHP Parse error:  syntax error, unexpected 'the_content' (T_STRING) in /Applications/MAMP/htdocs/wp-content/themes/quality/index-team.php on line 49
[02-Sep-2015 07:48:00 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1452
[02-Sep-2015 07:48:00 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:00 UTC] PHP Warning:  mysql_connect(): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:02 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1452
[02-Sep-2015 07:48:02 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:02 UTC] PHP Warning:  mysql_connect(): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:06 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1452
[02-Sep-2015 07:48:06 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:06 UTC] PHP Warning:  mysql_connect(): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
[02-Sep-2015 07:48:24 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1452
[02-Sep-2015 07:48:24 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /Applications/MAMP/htdocs/wp-includes/wp-db.php on line 1482
